@RELATION @user-item

@ATTRIBUTE user STRING 
@ATTRIBUTE item STRING 
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE sentiment STRING
@ATTRIBUTE side STRING

@DATA
522,383,5, </endperson14380>,</endperson383>
522,309,5, </endperson14381>,</endperson309>
522,1622,5, </endperson14382>,</endperson1622>
522,1291,5, </endperson14383>,</endperson1291>
523,1815,4,wi:+1 comedy:+1 </endperson14388>,</endperson1815>
523,2138,5, </endperson14389>,120;523:2138;4;0.43342736456537667  </endperson2138>
523,1732,4,comedy:+1 comedy:-1 </endperson14390>,</endperson1732>
523,2134,4, </endperson14391>,</endperson2134>
524,2984,3, </endperson14438>,</endperson2984>
524,700,3, </endperson14439>,</endperson700>
524,447,2,scenes:+1 </endperson14440>,</endperson447>
524,716,4,soundtrack:+1 performances:+1 </endperson14441>,</endperson716>
525,736,3, </endperson14444>,</endperson736>
525,2054,3,character:+1 </endperson14445>,</endperson2054>
525,1819,1,actor:+1 films:-1 </endperson14446>,</endperson1819>
525,625,4,characters:-1 </endperson14447>,</endperson625>
526,1900,5,character:+1 </endperson14459>,</endperson1900>
526,1896,5,character:-1 </endperson14460>,</endperson1896>
526,2403,1,movie:+1 isnt:-1 </endperson14461>,</endperson2403>
526,1109,5,choc:-1 </endperson14462>,</endperson1109>
527,1019,4, </endperson14468>,</endperson1019>
527,951,5,films:+1 character:-1 </endperson14469>,</endperson951>
527,2028,4, </endperson14470>,</endperson2028>
527,1897,5,movie:+1 horror:-1 movie:-1 </endperson14471>,</endperson1897>
528,963,3, </endperson14486>,</endperson963>
528,1132,4,character:+1 comedymoments:+1 </endperson14487>,</endperson1132>
528,732,5, </endperson14488>,157;528:732;4;0.0  </endperson732>
528,2742,5, </endperson14489>,</endperson2742>
529,838,5,films:+1 moments:-1 performances:-1 </endperson14492>,</endperson838>
529,1726,5, </endperson14493>,</endperson1726>
529,340,2, </endperson14494>,</endperson340>
529,17,4,wi:+1 isnt:+1 rating:+1 films:-1 </endperson14495>,</endperson17>
530,1131,5,specialeffects:+1 </endperson14501>,</endperson1131>
530,142,4, </endperson14502>,</endperson142>
530,1085,5,actors:+1 </endperson14503>,128;530:1085;5;0.22025943782105728  </endperson1085>
530,671,4,movie:-1 </endperson14504>,</endperson671>
531,179,4,scenery:+1 performances:+1 actors:-1 films:-1 reviews:-1 movie:-1 </endperson14509>,</endperson179>
531,523,4, </endperson14510>,</endperson523>
531,157,2, </endperson14511>,</endperson157>
531,990,3,scenes:+1 </endperson14512>,</endperson990>
532,1007,5,scenes:+1 scenes:-1 </endperson14518>,</endperson1007>
532,515,4, </endperson14519>,2;532:515;4;0.3971190424948079  </endperson515>
532,724,4,scenes:+1 </endperson14520>,382;532:724;4;0.34190540402502667  </endperson724>
532,2167,4,cast:+1 movie:+1 </endperson14521>,385;532:2167;3;0.49407523867635605 656;532:2167;2;0.33531628998047935  </endperson2167>
533,1719,5, </endperson14540>,</endperson1719>
533,1403,5, </endperson14541>,</endperson1403>
533,1674,5, </endperson14542>,</endperson1674>
533,1561,4, </endperson14543>,</endperson1561>
534,2538,2,movie:+1 </endperson14546>,</endperson2538>
534,2168,2,movie:+1 </endperson14547>,</endperson2168>
534,1267,5,specialeffects:+1 </endperson14548>,</endperson1267>
534,743,5,wi:+1 isnt:+1 </endperson14549>,</endperson743>
535,1463,5, </endperson14553>,</endperson1463>
535,2551,4,actresses:+1 watch:-1 </endperson14554>,</endperson2551>
535,2875,5,acting:+1 accent:-1 </endperson14555>,369;535:2875;4;0.36923913515848006  </endperson2875>
535,1611,4, </endperson14556>,</endperson1611>
536,1188,4, </endperson14560>,</endperson1188>
536,544,2,plot:+1 script:-1 </endperson14561>,585;536:544;4;0.30406510718210633  </endperson544>
536,2497,2,films:+1 isnt:+1 credits:-1 </endperson14562>,185;536:2497;4;0.461993815571221  </endperson2497>
536,752,3,script:+1 </endperson14563>,702;536:752;3;0.31778222674540935  </endperson752>
537,1220,5, </endperson14570>,</endperson1220>
537,2930,5,movie:+1 movie:-1 </endperson14571>,422;537:2930;4;0.4091048705068956  </endperson2930>
537,2650,5,storyline:+1 acting:+1 </endperson14572>,</endperson2650>
537,2584,5, </endperson14573>,</endperson2584>
538,2889,5,character:+1 isnt:+1 scenes:+1 character:-1 </endperson14576>,</endperson2889>
538,999,5,character:+1 plot:+1 scenes:+1 actors:-1 humour:-1 </endperson14577>,</endperson999>
538,710,4,characters:+1 casting:+1 acting:+1 character:-1 everyones:-1 </endperson14578>,</endperson710>
538,2057,5, </endperson14579>,</endperson2057>
539,811,4,isnt:+1 comedy:+1 </endperson14584>,111;539:811;4;0.5478045813291265  </endperson811>
539,863,3,comedy:+1 trailer:-1 </endperson14585>,125;539:863;4;0.07436041664828164 237;539:863;5;0.495309507425966  </endperson863>
539,1868,4,cast:+1 trailer:-1 moments:-1 plot:-1 </endperson14586>,79;539:1868;4;0.5395713775316605 97;539:1868;4;0.44832890649737456 239;539:1868;4;0.5804297393560023 384;539:1868;4;0.13389334837976796  </endperson1868>
539,1889,5,character:+1 roles:+1 films:-1 character:-1 </endperson14587>,</endperson1889>
540,442,5,acting:+1 character:-1 </endperson14701>,2;540:442;4;0.5244017532178762  </endperson442>
540,2354,4,character:+1 character:-1 </endperson14702>,586;540:2354;4;0.3468829014121221  </endperson2354>
540,888,3, </endperson14703>,7;540:888;4;0.5901695262888512 126;540:888;4;0.3455011281831941 232;540:888;4;0.44194119389927056 586;540:888;4;0.3468829014121221  </endperson888>
540,2355,4,isnt:+1 humour:-1 </endperson14704>,142;540:2355;4;0.34727378422179755  </endperson2355>
541,2565,4,horror:+1 </endperson14709>,</endperson2565>
541,2633,4,movie:+1 </endperson14710>,</endperson2633>
541,2102,5, </endperson14711>,</endperson2102>
541,1439,5,cast:+1 </endperson14712>,557;541:1439;4;0.0  </endperson1439>
542,703,5,animation:+1 </endperson14715>,</endperson703>
542,1111,5,character:+1 </endperson14716>,</endperson1111>
542,227,5,scenes:+1 specialeffects:+1 character:-1 </endperson14717>,</endperson227>
542,1557,4,sexreferences:-1 </endperson14718>,</endperson1557>
543,1598,4,craft:+1 </endperson14724>,44;543:1598;4;0.20412414523193156  </endperson1598>
543,2943,4, </endperson14725>,</endperson2943>
543,1407,4,movie:+1 </endperson14727>,</endperson1407>
544,1493,5,movies:+1 performance:+1 scenes:+1 </endperson14731>,</endperson1493>
544,2927,5, </endperson14732>,</endperson2927>
544,1712,4,ending:+1 actors:-1 </endperson14733>,</endperson1712>
544,105,5,movie:+1 </endperson14734>,</endperson105>
545,615,4,performance:+1 acting:+1 character:-1 scenes:-1 </endperson14738>,</endperson615>
545,207,5, </endperson14739>,</endperson207>
545,1948,4,character:+1 plot:+1 twists:+1 </endperson14740>,</endperson1948>
545,1175,4,character:+1 films:-1 watch:-1 comedy:-1 </endperson14741>,</endperson1175>
546,1387,5,movie:+1 movie:-1 </endperson14744>,</endperson1387>
546,1635,5,movie:+1 </endperson14745>,</endperson1635>
546,1137,5,animation:+1 character:-1 moments:-1 movie:-1 </endperson14746>,</endperson1137>
546,1908,5, </endperson14747>,</endperson1908>
547,1823,4,character:+1 acting:+1 </endperson14751>,</endperson1823>
547,1911,3,movie:+1 movie:-1 </endperson14752>,637;547:1911;4;0.5350778993994255  </endperson1911>
547,763,1, </endperson14753>,</endperson763>
547,2312,5,actor:+1 character:+1 characters:+1 watching:+1 </endperson14754>,142;547:2312;4;0.4705602526348406 263;547:2312;4;0.42037787785991365 608;547:2312;4;0.29892427208066563  </endperson2312>
548,1644,4,plot:+1 beau:-1 </endperson14758>,</endperson1644>
548,882,4, </endperson14759>,</endperson882>
548,1580,3,cameraangles:+1 snothing:+1 </endperson14760>,</endperson1580>
548,1272,4,performance:+1 </endperson14761>,</endperson1272>
549,2827,5,films:+1 scenes:+1 films:-1 character:-1 tlook:-1 scene:-1 </endperson14779>,558;549:2827;4;0.3197803035996185  </endperson2827>
549,161,4,acting:+1 character:-1 watch:-1 </endperson14780>,</endperson161>
549,72,4,character:+1 </endperson14781>,389;549:72;4;0.40320620310879374  </endperson72>
550,1808,4,films:+1 soundtrack:+1 character:+1 plot:+1 comedy:+1 hero:+1 films:-1 moving:-1 </endperson14792>,</endperson1808>
550,1053,4,character:-1 </endperson14793>,615;550:1053;4;0.35109585193911685  </endperson1053>
550,919,3,scenes:+1 script:+1 isnt:-1 </endperson14794>,</endperson919>
550,146,4,cast:+1 performance:+1 plot:+1 character:-1 </endperson14795>,</endperson146>
551,1898,5,character:+1 plot:+1 </endperson14804>,</endperson1898>
551,1782,5, </endperson14805>,</endperson1782>
551,121,4,scenes:+1 actors:-1 character:-1 movie:-1 </endperson14806>,</endperson121>
551,1065,4, </endperson14807>,</endperson1065>
552,1878,4,films:+1 stunt:+1 movie:-1 </endperson14817>,</endperson1878>
552,129,3,isnt:+1 isnt:-1 </endperson14818>,</endperson129>
552,1033,5,movie:+1 actionfilm:+1 </endperson14819>,</endperson1033>
552,562,5,roles:+1 </endperson14820>,</endperson562>
553,326,4, </endperson14823>,</endperson326>
553,2359,5,casting:+1 </endperson14824>,</endperson2359>
553,1776,5,movie:-1 </endperson14825>,</endperson1776>
553,2379,5,films:+1 movie:+1 character:-1 movie:-1 </endperson14826>,</endperson2379>
554,1355,5, </endperson14848>,</endperson1355>
554,1375,5, </endperson14849>,</endperson1375>
554,1088,5,childrens:+1 films:-1 </endperson14850>,66;554:1088;3;0.5933008728957315  </endperson1088>
554,359,5, </endperson14851>,</endperson359>
555,2432,4,movie:+1 movie:-1 </endperson14854>,</endperson2432>
555,1060,5, </endperson14855>,</endperson1060>
555,856,3,character:+1 actionsequences:+1 scenery:+1 movie:-1 </endperson14856>,</endperson856>
555,547,5,specialeffects:+1 </endperson14857>,</endperson547>
556,410,5, </endperson14863>,</endperson410>
556,1439,5, </endperson14864>,</endperson1439>
556,2514,5,performances:-1 </endperson14865>,</endperson2514>
556,2675,5,actor:+1 </endperson14866>,355;556:2675;4;0.37347959101947326  </endperson2675>
557,963,3, </endperson14872>,</endperson963>
557,2494,1,fare:+1 characters:+1 character:-1 </endperson14873>,185;557:2494;4;0.0  </endperson2494>
557,2991,4,soundtrack:+1 leather:+1 </endperson14874>,</endperson2991>
558,1908,5,character:+1 moments:+1 moments:-1 isnt:-1 </endperson14946>,</endperson1908>
558,468,3,soundtrack:+1 </endperson14947>,</endperson468>
558,1832,5,character:-1 </endperson14948>,</endperson1832>
558,1834,3, </endperson14949>,</endperson1834>
559,2083,4,chemistry:-1 </endperson15029>,</endperson2083>
559,2043,4, </endperson15030>,</endperson2043>
559,1849,5,movie:+1 </endperson15031>,</endperson1849>
559,847,4,arent:-1 comedy:-1 </endperson15032>,</endperson847>
560,250,3,character:+1 </endperson15079>,0;560:250;4;0.4787975330029457 367;560:250;4;0.6033802493193486  </endperson250>
560,46,5,movie:+1 films:-1 </endperson15080>,</endperson46>
560,318,4, </endperson15081>,</endperson318>
560,2508,5,isnt:+1 </endperson15082>,</endperson2508>
561,1771,1, </endperson15086>,</endperson1771>
561,2682,3, </endperson15087>,</endperson2682>
561,2141,5,plot:+1 </endperson15088>,</endperson2141>
561,1327,2,movie:-1 </endperson15089>,</endperson1327>
562,1480,3,cast:+1 </endperson15103>,</endperson1480>
562,58,5,films:+1 performance:+1 screen:+1 </endperson15104>,</endperson58>
562,1441,4,character:+1 performance:+1 comedy:+1 </endperson15105>,</endperson1441>
562,734,4,moments:-1 </endperson15106>,</endperson734>
563,2550,4, </endperson15111>,596;563:2550;4;0.42633923943863783  </endperson2550>
563,295,3, </endperson15112>,48;563:295;4;0.1985538327054761 321;563:295;4;0.5046205670449481  </endperson295>
563,873,3, </endperson15113>,245;563:873;4;0.48601020236523795 294;563:873;4;0.5164973231407195 564;563:873;4;0.6786530123383806  </endperson873>
563,1625,4,acting:+1 actor:-1 </endperson15114>,</endperson1625>
564,137,4,character:+1 soundtrack:-1 character:-1 isnt:-1 </endperson15118>,</endperson137>
564,2954,4,plot:+1 </endperson15119>,</endperson2954>
564,2060,5,scenes:+1 casting:+1 </endperson15120>,</endperson2060>
564,2916,3, </endperson15121>,</endperson2916>
565,2109,5, </endperson15149>,</endperson2109>
565,2106,4,screenplay:+1 films:-1 character:-1 </endperson15150>,262;565:2106;4;0.5986650475236834  </endperson2106>
565,2262,4, </endperson15151>,</endperson2262>
565,2869,3, </endperson15152>,</endperson2869>
566,882,5,films:+1 </endperson15155>,</endperson882>
566,2308,4, </endperson15157>,</endperson2308>
