@RELATION @user-item

@ATTRIBUTE user STRING 
@ATTRIBUTE item STRING 
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE sentiment STRING
@ATTRIBUTE side STRING

@DATA
0,0,3,character:+1 character:-1 </endperson0>,5;0:0;4;0.5417115438121594 7;0:0;5;0.4330933748888832 67;0:0;4;0.4156473398889875 143;0:0;4;0.6085389102156566 129;0:0;4;0.3443609912089973 189;0:0;4;0.12819652753663302 9;0:0;4;0.5753917783635518 191;0:0;4;0.564708054175356 69;0:0;4;0.41537049217157995 8;0:0;4;0.45080655346291243 1;0:0;4;0.4690364178249665 185;0:0;5;0.3702500779437179 4;0:0;4;0.5298376688048704 180;0:0;5;0.42821053964595734 101;0:0;4;0.6211125935633999 504;0:0;4;0.5416571416510313 308;0:0;4;0.686968264937344 122;0:0;4;0.44931202585296015 433;0:0;4;0.5169269412096301 464;0:0;5;0.5094541237928822 407;0:0;5;0.5565126993007872 </endperson0>
0,1,3,films:+1 performance:+1 isnt:+1 character:-1 tfeel:-1 </endperson1>,</endperson1>
0,2,5,actress:+1 isnt:-1 </endperson2>,7;0:2;4;0.4330933748888832 310;0:2;4;0.5164861204584621 67;0:2;4;0.4156473398889875 113;0:2;5;0.5195861733665638 191;0:2;4;0.564708054175356 151;0:2;4;0.4439388115908728 1;0:2;4;0.4690364178249665 4;0:2;4;0.5298376688048704 465;0:2;4;0.2701528047761773 97;0:2;4;0.5336888504840812 180;0:2;4;0.42821053964595734 101;0:2;4;0.6211125935633999 426;0:2;4;0.4176042189414453 84;0:2;4;0.38175458305106336 308;0:2;4;0.686968264937344 433;0:2;4;0.5169269412096301 63;0:2;4;0.634413943105805 288;0:2;4;0.37852240607808163 94;0:2;4;0.4948934059635519 464;0:2;4;0.5094541237928822 </endperson2>
0,6,4,films:-1 actress:-1 humour:-1 </endperson6>,5;0:6;4;0.5417115438121594 67;0:6;4;0.4156473398889875 113;0:6;4;0.5195861733665638 191;0:6;4;0.564708054175356 1;0:6;4;0.4690364178249665 6;0:6;4;0.42198618361365914 185;0:6;4;0.3702500779437179 4;0:6;4;0.5298376688048704 97;0:6;4;0.5336888504840812 99;0:6;4;0.5862808302261446 101;0:6;4;0.6211125935633999 426;0:6;4;0.4176042189414453 504;0:6;4;0.5416571416510313 84;0:6;4;0.38175458305106336 115;0:6;4;0.4731091396272178 308;0:6;4;0.686968264937344 98;0:6;4;0.33497846379991314 73;0:6;4;0.47083977566821145 179;0:6;4;0.23393302799551796 178;0:6;4;0.6320830232247093 </endperson3>
0,7,4,isnt:+1 scenes:+1 isnt:-1 </endperson7>,5;0:7;4;0.5417115438121594 235;0:7;4;0.4299378468720174 7;0:7;4;0.4330933748888832 67;0:7;4;0.4156473398889875 129;0:7;4;0.3443609912089973 189;0:7;4;0.12819652753663302 151;0:7;4;0.4439388115908728 185;0:7;4;0.3702500779437179 4;0:7;4;0.5298376688048704 180;0:7;4;0.42821053964595734 99;0:7;4;0.5862808302261446 101;0:7;4;0.6211125935633999 426;0:7;4;0.4176042189414453 395;0:7;4;0.55229414802277 115;0:7;4;0.4731091396272178 308;0:7;4;0.686968264937344 141;0:7;4;0.6490343028920019 73;0:7;4;0.47083977566821145 179;0:7;4;0.23393302799551796 </endperson4>
0,9,4,isnt:+1 horrorfilms:+1 character:-1 isnt:-1 </endperson9>,289;0:9;4;0.4833573091310652 7;0:9;4;0.4330933748888832 67;0:9;4;0.4156473398889875 88;0:9;4;0.6314750767429066 189;0:9;4;0.12819652753663302 151;0:9;4;0.4439388115908728 123;0:9;4;0.5334942855791612 1;0:9;4;0.4690364178249665 4;0:9;4;0.5298376688048704 180;0:9;5;0.42821053964595734 99;0:9;5;0.5862808302261446 426;0:9;4;0.4176042189414453 504;0:9;4;0.5416571416510313 395;0:9;4;0.55229414802277 308;0:9;4;0.686968264937344 181;0:9;4;0.4507210030126414 63;0:9;4;0.634413943105805 94;0:9;4;0.4948934059635519 </endperson5>
0,14,4,character:-1 isnt:-1 </endperson14>,7;0:14;4;0.4330933748888832 67;0:14;4;0.4156473398889875 143;0:14;4;0.6085389102156566 88;0:14;4;0.6314750767429066 113;0:14;4;0.5195861733665638 151;0:14;4;0.4439388115908728 123;0:14;4;0.5334942855791612 1;0:14;4;0.4690364178249665 6;0:14;5;0.42198618361365914 185;0:14;4;0.3702500779437179 4;0:14;5;0.5298376688048704 101;0:14;4;0.6211125935633999 306;0:14;4;0.34828145077204375 308;0:14;4;0.686968264937344 433;0:14;4;0.5169269412096301 107;0:14;4;0.37301484741551394 110;0:14;4;0.39505468031137647 94;0:14;4;0.4948934059635519 </endperson6>
0,15,3,scenes:+1 </endperson15>,7;0:15;4;0.4330933748888832 310;0:15;4;0.5164861204584621 67;0:15;4;0.4156473398889875 189;0:15;4;0.12819652753663302 318;0:15;4;0.6762062218289954 151;0:15;4;0.4439388115908728 409;0:15;4;0.4394119325947421 1;0:15;4;0.4690364178249665 185;0:15;5;0.3702500779437179 4;0:15;4;0.5298376688048704 101;0:15;4;0.6211125935633999 395;0:15;4;0.55229414802277 115;0:15;5;0.4731091396272178 308;0:15;4;0.686968264937344 399;0:15;4;0.308421028924201 110;0:15;4;0.39505468031137647 94;0:15;4;0.4948934059635519 </endperson7>
0,17,4,performance:+1 character:-1 </endperson17>,5;0:17;4;0.5417115438121594 67;0:17;4;0.4156473398889875 113;0:17;4;0.5195861733665638 189;0:17;4;0.12819652753663302 318;0:17;4;0.6762062218289954 151;0:17;4;0.4439388115908728 409;0:17;4;0.4394119325947421 6;0:17;4;0.42198618361365914 4;0:17;4;0.5298376688048704 101;0:17;4;0.6211125935633999 84;0:17;4;0.38175458305106336 395;0:17;4;0.55229414802277 306;0:17;4;0.34828145077204375 308;0:17;5;0.686968264937344 181;0:17;4;0.4507210030126414 399;0:17;4;0.308421028924201 94;0:17;4;0.4948934059635519 </endperson8>
0,21,4,tfeel:+1 humour:+1 scenes:+1 moments:-1 </endperson21>,</endperson9>
0,24,4,actors:-1 isnt:-1 </endperson24>,</endperson10>
0,25,2,arent:+1 isnt:-1 tlook:-1 </endperson25>,</endperson11>
0,26,3,disc:-1 </endperson26>,5;0:26;4;0.5417115438121594 7;0:26;4;0.4330933748888832 88;0:26;4;0.6314750767429066 189;0:26;4;0.12819652753663302 318;0:26;4;0.6762062218289954 191;0:26;4;0.564708054175356 4;0:26;5;0.5298376688048704 465;0:26;4;0.2701528047761773 101;0:26;4;0.6211125935633999 504;0:26;4;0.5416571416510313 115;0:26;5;0.4731091396272178 308;0:26;4;0.686968264937344 488;0:26;4;0.40057071047073234 122;0:26;4;0.44931202585296015 399;0:26;4;0.308421028924201 107;0:26;4;0.37301484741551394 </endperson12>
0,27,4,character:+1 humour:+1 actors:-1 character:-1 </endperson27>,</endperson13>
0,28,3,isnt:+1 actionfilms:+1 reviews:-1 credits:-1 </endperson28>,5;0:28;4;0.5417115438121594 235;0:28;4;0.4299378468720174 7;0:28;4;0.4330933748888832 67;0:28;4;0.4156473398889875 9;0:28;4;0.5753917783635518 318;0:28;4;0.6762062218289954 191;0:28;4;0.564708054175356 151;0:28;4;0.4439388115908728 1;0:28;4;0.4690364178249665 4;0:28;4;0.5298376688048704 465;0:28;4;0.2701528047761773 101;0:28;4;0.6211125935633999 115;0:28;5;0.4731091396272178 488;0:28;4;0.40057071047073234 181;0:28;4;0.4507210030126414 122;0:28;4;0.44931202585296015 314;0:28;4;0.46083784336205336 412;0:28;4;0.4324856770201313 110;0:28;4;0.39505468031137647 </endperson14>
0,32,4, </endperson32>,</endperson15>
0,33,3,movie:+1 isnt:+1 truck:-1 video:-1 </endperson33>,</endperson16>
0,35,4,plot:-1 acting:-1 </endperson35>,</endperson17>
0,36,5,isnt:+1 character:-1 isnt:-1 </endperson36>,</endperson18>
0,40,4,character:-1 </endperson40>,7;0:40;4;0.4330933748888832 9;0:40;3;0.5753917783635518 191;0:40;4;0.564708054175356 311;0:40;4;0.14987587163844573 151;0:40;4;0.4439388115908728 4;0:40;4;0.5298376688048704 469;0:40;4;0.4739448924961165 504;0:40;4;0.5416571416510313 84;0:40;4;0.38175458305106336 308;0:40;4;0.686968264937344 399;0:40;4;0.308421028924201 396;0:40;4;0.4951099394190135 466;0:40;4;0.35056730764922306 279;0:40;4;0.4618575670871776 110;0:40;4;0.39505468031137647 276;0:40;4;0.24783951741935795 </endperson19>
0,42,3,moments:-1 isnt:-1 </endperson42>,</endperson20>
0,45,3,someones:-1 </endperson45>,</endperson21>
0,46,5,wi:+1 </endperson46>,</endperson22>
0,48,5,performance:+1 isnt:+1 ending:-1 actors:-1 </endperson48>,</endperson23>
0,50,4,films:+1 character:-1 </endperson50>,</endperson24>
0,52,4,isnt:+1 </endperson52>,</endperson25>
0,54,4,scenes:-1 </endperson54>,5;0:54;4;0.5417115438121594 7;0:54;4;0.4330933748888832 9;0:54;4;0.5753917783635518 318;0:54;4;0.6762062218289954 151;0:54;4;0.4439388115908728 123;0:54;4;0.5334942855791612 6;0:54;4;0.42198618361365914 4;0:54;4;0.5298376688048704 469;0:54;4;0.4739448924961165 115;0:54;4;0.4731091396272178 306;0:54;4;0.34828145077204375 308;0:54;4;0.686968264937344 122;0:54;4;0.44931202585296015 319;0:54;4;0.5250938568162821 136;0:54;4;0.41992064242442306 276;0:54;4;0.24783951741935795 </endperson26>
0,55,3,scenes:+1 acting:+1 romance:-1 character:-1 isnt:-1 </endperson55>,</endperson27>
0,59,3,snothing:+1 storyline:-1 </endperson59>,</endperson28>
0,60,5,films:+1 isnt:+1 productions:+1 performances:+1 </endperson60>,</endperson29>
0,62,4,scenes:+1 performances:+1 isnt:-1 </endperson62>,</endperson30>
