@RELATION @user-item

@ATTRIBUTE user STRING
@ATTRIBUTE item STRING
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE sentiment STRING
@ATTRIBUTE help_user STRING
@ATTRIBUTE value STRING
@ATTRIBUTE help_sentiment STRING
@ATTRIBUTE help_sim STRING

@DATA
0,0,3,performance:+1 specialeffects:+1 isnt:-1 acting:-1 </endperson0>,120;;;;237;;;;359</endperson0>,4;;;;4;;;;4</endperson0>,actress:+1 ;;;;director:+1 ;;;;characters:-1 </endperson0>,0.25908845823655513;;;;0.3419140898363835;;;;0.37159190391080354 </endperson0>
0,1,3,isnt:+1 character:-1 specialeffects:-1 </endperson1>,2;;;;231</endperson1>,4;;;;4</endperson1>,movie:+1 movie:-1 ;;;;films:+1 films:-1 </endperson1>,0.38178793847204595;;;;0.5563004014285502 </endperson1>
0,2,4,actors:+1 performance:+1 isnt:+1 character:-1 isnt:-1 </endperson2>,</endperson2>,</endperson2>,</endperson2>, </endperson2>
0,3,4,isnt:+1 </endperson3>,124</endperson3>,4</endperson3>,films:+1 performance:+1 watch:+1 isnt:+1 storyline:+1 </endperson3>,0.23757309863251053 </endperson3>
0,4,4,isnt:+1 character:-1 performance:-1 isnt:-1 </endperson4>,2;;;;7</endperson4>,4;;;;4</endperson4>,movie:+1 ;;;;storyline:+1 </endperson4>,0.38178793847204595;;;;0.4499056942743185 </endperson4>
0,5,4,character:-1 </endperson5>,2</endperson5>,4</endperson5>,cast:+1 specialfeatures:+1 movie:-1 </endperson5>,0.38178793847204595 </endperson5>
0,6,3,character:+1 character:-1 </endperson6>,</endperson6>,</endperson6>,</endperson6>, </endperson6>
0,7,3,films:+1 performance:+1 isnt:+1 character:-1 tfeel:-1 </endperson7>,120;;;;577;;;;585;;;;586</endperson7>,4;;;;4;;;;4;;;;4</endperson7>,script:-1 ;;;;cringe:+1 isnt:+1 baddie:+1 acting:+1 character:-1 ;;;;character:+1 plot:-1 timing:-1 ;;;;actor:+1 reviews:+1 plot:+1 storyline:+1 </endperson7>,0.25908845823655513;;;;0.41010538516031736;;;;0.29827763944785435;;;;0.27051822027156014 </endperson7>
0,8,3,actor:+1 films:+1 actress:+1 tfeel:+1 actors:-1 isnt:-1 </endperson8>,2</endperson8>,4</endperson8>,movies:+1 soundtrack:+1 performance:+1 movie:-1 </endperson8>,0.38178793847204595 </endperson8>
0,9,4,performances:+1 </endperson9>,48;;;;79;;;;585</endperson9>,4;;;;4;;;;4</endperson9>, ;;;;snothing:+1 ;;;;performances:+1 </endperson9>,0.19016991875364986;;;;0.297995157283814;;;;0.29827763944785435 </endperson9>
0,10,2,performance:+1 </endperson10>,</endperson10>,</endperson10>,</endperson10>, </endperson10>
