userindex,feature,score
0,performance,0.200661965365803
0,wi,0.18104019153765055
0,familyfilm,0.172449909206621
0,specialeffects,0.16708808846195516
0,actor,0.16381545762077482
0,acting,0.15891344438208693
0,smells,0.15788265472431579
0,star,0.15435076052356972
0,ending,0.14976250353955795
0,performances,0.1475747823445513
0,stunt,0.14223112742655086
0,cringe,0.1389168414697523
0,extras,0.1382654367648931
0,soundtrack,0.13748881271718583
0,scenery,0.1341603461670134
0,storyline,0.12948151921068912
0,cast,0.1291207973220534
0,comedy,0.12757488539716394
0,actors,0.12554902431506476
0,isnt,0.12467480955653037
0,movies,0.12467107167954755
0,chemistry,0.12419868183145177
0,director,0.12069191664091938
0,actress,0.11586216446069686
0,viewing,0.11191078993612974
0,movie,0.11112509443018537
0,films,0.1071996670332771
0,arent,0.10393515270935466
0,casting,0.1007497722301684
0,viewers,0.10046095714505182
0,snothing,0.09577631980491152
0,plot,0.09232553210877809
0,werent,0.09176397766160221
0,directing,0.08525675417817791
0,scenes,0.08259526166580822
0,humour,0.07574773851471833
0,genre,0.07529534941741911
0,reviews,0.07097923868488731
0,rating,0.06810973696351186
0,screen,0.06774013497912212
0,actionsequences,0.06715363132961588
0,zombie,0.06485344399804932
0,video,0.06469934781014464
0,script,0.0642646167913381
0,characters,0.06342543587238764
0,chickflick,0.06098548796041403
0,tlook,0.05928680043649748
0,explosions,0.05287305301478512
0,animation,0.05204861575604158
0,actionscenes,0.04843338470854014
0,horror,0.04488078119864419
0,moments,0.044193672696530295
0,screenplay,0.04398500295700669
0,tfeel,0.043123773561504375
0,thriller,0.04303154159088457
0,trailer,0.04203497209711743
0,landlady,0.04099037807743361
0,character,0.0408095734115565
0,romance,0.0393818920145006
0,budget,0.037782842393778104
0,screenpresence,0.036696599644621186
0,motionpicture,0.03534571343274773
0,fightscenes,0.0331273085681944
0,comedies,0.024830979089230543
0,bond,0.02421035050367415
0,fairytale,0.02373477380534872
0,backstories,0.023353730225311953
0,menus,0.02258799472466355
0,hero,0.02225493138732998
0,characterisation,0.020988216203348398
0,tanything,0.018229098710239033
0,watch,0.014964190516130182
0,actresses,0.013250516219059427
0,fans,0.009427476394147205
0,audiences,0.004532116875897885
0,twists,0.004449008592376014
0,passenger,0.002356770743702885
0,mothers,0.0021616308094460357
0,scene,0.001483177180139239
0,prince,0.0013999043877614414
0,subtitles,-2.55070766173926E-4
0,comedymoments,-0.0025333806941324755
0,crude,-0.003222186597964749
0,shenanigans,-0.003938639625535395
0,roles,-0.006933701765619443
0,turns,-0.00733208890376702
0,broadway,-0.01010268012532034
0,disc,-0.010556893768581294
0,cinemas,-0.015118914966060909
0,comedyfilm,-0.017396219093648108
0,directors,-0.017590975932443326
0,cinemagoers,-0.0186785982098224
0,producer,-0.021735009608441852
0,instalment,-0.026193390832510155
0,slife,-0.02871126450050787
0,celebrities,-0.03107672133324138
