@RELATION @user-item

@ATTRIBUTE user STRING 
@ATTRIBUTE item STRING 
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE sentiment STRING
@ATTRIBUTE side STRING

@DATA
0,132,3,isnt:+1 storyline:+1 isnt:-1 </endperson132>,7;0:132;4;0.4330933748888832 9;0:132;4;0.5753917783635518 151;0:132;4;0.4439388115908728 409;0:132;4;0.4394119325947421 123;0:132;4;0.5334942855791612 144;0:132;4;0.3250186237927897 6;0:132;4;0.42198618361365914 2;0:132;4;0.43266292237518345 4;0:132;4;0.5298376688048704 84;0:132;4;0.38175458305106336 395;0:132;4;0.55229414802277 306;0:132;4;0.34828145077204375 308;0:132;4;0.686968264937344 500;0:132;4;0.49450010176487713 11;0:132;4;0.5638126810643433 136;0:132;4;0.41992064242442306 276;0:132;4;0.24783951741935795 </endperson63>
0,25,2,arent:+1 isnt:-1 tlook:-1 </endperson25>,</endperson11>
0,86,4,films:+1 isnt:+1 isnt:-1 </endperson86>,</endperson44>
0,131,4,performance:+1 </endperson131>,</endperson62>
0,133,3,screenplay:+1 character:-1 reviews:-1 isnt:-1 </endperson133>,</endperson64>
0,32,4, </endperson32>,</endperson15>
0,2,5,actress:+1 isnt:-1 </endperson2>,7;0:2;4;0.4330933748888832 310;0:2;4;0.5164861204584621 67;0:2;4;0.4156473398889875 113;0:2;5;0.5195861733665638 191;0:2;4;0.564708054175356 151;0:2;4;0.4439388115908728 1;0:2;4;0.4690364178249665 4;0:2;4;0.5298376688048704 465;0:2;4;0.2701528047761773 97;0:2;4;0.5336888504840812 180;0:2;4;0.42821053964595734 101;0:2;4;0.6211125935633999 426;0:2;4;0.4176042189414453 84;0:2;4;0.38175458305106336 308;0:2;4;0.686968264937344 433;0:2;4;0.5169269412096301 63;0:2;4;0.634413943105805 288;0:2;4;0.37852240607808163 94;0:2;4;0.4948934059635519 464;0:2;4;0.5094541237928822 </endperson2>
0,143,3,character:+1 watch:+1 specialeffects:+1 </endperson143>,</endperson68>
0,137,4,soundtrack:+1 performance:+1 specialeffects:+1 extras:+1 films:-1 humour:-1 </endperson137>,</endperson65>
0,25,2,arent:+1 isnt:-1 tlook:-1 </endperson25>,</endperson11>
0,159,3, </endperson159>,</endperson75>
0,94,3,performance:+1 movie:+1 isnt:+1 </endperson94>,143;0:94;4;0.6085389102156566 9;0:94;4;0.5753917783635518 318;0:94;4;0.6762062218289954 151;0:94;4;0.4439388115908728 409;0:94;4;0.4394119325947421 123;0:94;4;0.5334942855791612 6;0:94;4;0.42198618361365914 2;0:94;4;0.43266292237518345 504;0:94;4;0.5416571416510313 395;0:94;4;0.55229414802277 115;0:94;4;0.4731091396272178 306;0:94;4;0.34828145077204375 308;0:94;4;0.686968264937344 122;0:94;4;0.44931202585296015 319;0:94;4;0.5250938568162821 136;0:94;4;0.41992064242442306 </endperson47>
0,64,4,performance:+1 reviews:+1 scenes:+1 character:-1 toilethumour:-1 </endperson64>,7;0:64;4;0.4330933748888832 129;0:64;4;0.3443609912089973 9;0:64;4;0.5753917783635518 318;0:64;4;0.6762062218289954 398;0:64;4;0.6005044950556542 151;0:64;4;0.4439388115908728 123;0:64;4;0.5334942855791612 4;0:64;4;0.5298376688048704 397;0:64;4;0.32169836097325 469;0:64;4;0.4739448924961165 504;0:64;4;0.5416571416510313 308;0:64;4;0.686968264937344 122;0:64;4;0.44931202585296015 58;0:64;4;0.48561352067160835 136;0:64;4;0.41992064242442306 412;0:64;4;0.4324856770201313 110;0:64;4;0.39505468031137647 </endperson32>
0,101,2,character:+1 squeak:-1 </endperson101>,</endperson51>
