@RELATION @user-item

@ATTRIBUTE user STRING 
@ATTRIBUTE item STRING 
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE sentiment STRING
@ATTRIBUTE side STRING

@DATA
0,0,3,performance:+1 specialeffects:+1 isnt:-1 acting:-1 </endperson0>,120;0:0;4;0.25908845823655513 237;0:0;4;0.3419140898363835 359;0:0;4;0.37159190391080354 </endperson0>
0,1,3,isnt:+1 character:-1 specialeffects:-1 </endperson1>,2;0:1;4;0.38178793847204595 231;0:1;4;0.5563004014285502 </endperson1>
0,2,4,actors:+1 performance:+1 isnt:+1 character:-1 isnt:-1 </endperson2>,</endperson2>
0,3,4,isnt:+1 </endperson3>,124;0:3;4;0.23757309863251053 </endperson3>
0,4,4,isnt:+1 character:-1 performance:-1 isnt:-1 </endperson4>,2;0:4;4;0.38178793847204595 7;0:4;4;0.4499056942743185 </endperson4>
0,5,4,character:-1 </endperson5>,2;0:5;4;0.38178793847204595 </endperson5>
0,6,3,character:+1 character:-1 </endperson6>,</endperson6>
0,7,3,films:+1 performance:+1 isnt:+1 character:-1 tfeel:-1 </endperson7>,120;0:7;4;0.25908845823655513 577;0:7;4;0.41010538516031736 585;0:7;4;0.29827763944785435 586;0:7;4;0.27051822027156014 </endperson7>
0,8,3,actor:+1 films:+1 actress:+1 tfeel:+1 actors:-1 isnt:-1 </endperson8>,2;0:8;4;0.38178793847204595 </endperson8>
0,9,4,performances:+1 </endperson9>,48;0:9;4;0.19016991875364986 79;0:9;4;0.297995157283814 585;0:9;4;0.29827763944785435 </endperson9>
0,10,2,performance:+1 </endperson10>,</endperson10>
0,11,5,actress:+1 isnt:-1 </endperson11>,2;0:11;4;0.38178793847204595 16;0:11;4;0.1830372471915105 128;0:11;4;0.39175118970677536 142;0:11;5;0.27624292283531304 157;0:11;4;0.32132840513561045 242;0:11;4;0.3552193054007391 347;0:11;4;0.3412107023929186 507;0:11;4;0.2654058000402494 600;0:11;4;0.3397468769106492 </endperson11>
0,12,4,performance:+1 isnt:+1 acting:+1 isnt:-1 </endperson12>,8;0:12;4;0.09515437508131053 631;0:12;4;0.558411895139576 </endperson12>
0,13,3,character:-1 isnt:-1 </endperson13>,369;0:13;4;0.4952756078997912 487;0:13;4;0.3041941689244745 559;0:13;4;0.269137125914533 586;0:13;4;0.27051822027156014 608;0:13;4;0.2633679729603733 654;0:13;4;0.2386367285884432 </endperson13>
